station,begin_date,end_date,count_nu,dec_lat_va,dec_long_va
,3/14/2019,5/27/2020,440,40.3647222,-74.94888889
,10/1/2007,5/27/2020,4622,40.22166667,-74.7780556
,10/17/2018,5/27/2020,588,40.18916667,-74.7558333
,6/9/2009,5/27/2020,4005,40.0361111,-74.5361111
,1/31/2020,5/27/2020,117,40.1372222,-74.6
,12/19/2018,5/27/2020,525,40.1739982,-74.9568342
,11/14/2019,5/27/2020,195,39.94,-74.7630556
,3/19/2020,5/25/2020,67,39.8677222,-74.84175
,3/11/2020,5/27/2020,77,39.89527778,-74.8236111
,2/8/2012,5/27/2020,3031,39.885,-74.50527778
,11/12/2019,5/27/2020,197,39.9561111,-74.62777778
,1/6/2020,5/27/2020,142,39.97,-74.6844444
,1/30/2020,5/27/2020,118,39.99305556,-74.78138889
,9/25/2019,5/27/2020,245,40.02916667,-74.9316667
,5/14/2019,5/27/2020,379,40.01513889,-75.0176944
,11/7/2019,5/27/2020,202,39.94166667,-75.0011111
,10/1/2018,5/27/2020,604,40.0159454,-75.0968411
,2/25/2020,5/27/2020,92,39.90305556,-75.02138889
,10/1/2007,5/27/2020,4622,39.95400165,-75.1373987
,1/16/2020,5/27/2020,132,39.95400165,-75.1373987
,1/16/2020,5/27/2020,132,39.95400165,-75.1373987
,1/16/2020,5/27/2020,132,39.95400165,-75.1373987
,9/27/2018,5/27/2020,608,40.339538,-75.7421359
,11/29/2018,5/27/2020,545,40.22954725,-75.451567
,10/1/2018,5/27/2020,604,39.9678905,-75.1885123
,10/1/2007,5/27/2020,4622,39.8792798,-75.20268029
,11/19/2018,5/27/2020,555,39.92900154,-75.2724064
,10/1/2007,5/27/2020,4622,39.84555556,-75.3508333
,1/29/2020,5/27/2020,119,39.6861111,-75.1844444
,5/13/2020,5/27/2020,14,39.74055556,-75.2591667
,10/2/2018,5/27/2020,603,39.63738889,-75.72788889
,1/15/2020,5/27/2020,133,39.8584423,-75.7832743
,11/14/2019,5/27/2020,195,39.8284429,-75.780773
,12/4/2019,5/27/2020,175,39.8217764,-75.7791061
,3/5/2020,5/27/2020,83,39.76566619,-75.7960492
,5/28/2017,5/27/2020,1095,39.7475,-75.7708333
,10/1/2018,5/27/2020,604,39.6892222,-75.74875
,10/2/2019,5/27/2020,238,39.7068861,-75.6950944
,10/17/2018,5/27/2020,588,39.6992222,-75.67502778
,10/1/2018,5/27/2020,604,39.76280556,-75.6365
,2/13/2020,5/27/2020,104,39.9295515,-75.82300028
,10/1/2007,5/27/2020,4622,39.8698328,-75.5932623
,11/19/2019,5/27/2020,190,39.55405556,-75.6188611
,10/12/2018,5/27/2020,593,39.5086111,-75.4605556
,9/17/2019,5/27/2020,253,38.90577778,-75.51275
