type,properties/site_id,properties/enhanced_gage,properties/new_gage,properties/reactivated_gage,properties/camera,properties/specific_conductance,properties/temperature,properties/latitude,properties/longitude,properties/flyToCommands/bearing,properties/flyToCommands/center/0,properties/flyToCommands/center/1,properties/flyToCommands/zoom,properties/flyToCommands/pitch,properties/flyToCommands/speed,properties/flyToCommands/curve,properties/flyToCommands/essential,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,USGS-01435900,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,41.82786867,-74.6387701,350,-74.6387701,41.82786867,8,90,0.2,1,TRUE,Point,-74.6387701,41.82786867
Feature,USGS-01436000,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,41.82,-74.6355556,350,-74.6355556,41.82,8,90,0.2,1,TRUE,Point,-74.6355556,41.82
Feature,USGS-01436000,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,41.82,-74.6355556,350,-74.6355556,41.82,8,90,0.2,1,TRUE,Point,-74.6355556,41.82
Feature,USGS-01427500,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,41.76055556,-75.04838889,350,-75.04838889,41.76055556,8,90,0.2,1,TRUE,Point,-75.04838889,41.76055556
Feature,USGS-01427510,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,41.75675,-75.0574167,350,-75.0574167,41.75675,8,90,0.2,1,TRUE,Point,-75.0574167,41.75675
Feature,USGS-01427510,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,41.75675,-75.0574167,350,-75.0574167,41.75675,8,90,0.2,1,TRUE,Point,-75.0574167,41.75675
Feature,USGS-01436655,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,41.6678695,-74.6229383,350,-74.6229383,41.6678695,8,90,0.2,1,TRUE,Point,-74.6229383,41.6678695
Feature,USGS-01436690,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,41.63805556,-74.61688889,350,-74.61688889,41.63805556,8,90,0.2,1,TRUE,Point,-74.61688889,41.63805556
Feature,USGS-01437100,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,41.5986111,-74.4686111,350,-74.4686111,41.5986111,8,90,0.2,1,TRUE,Point,-74.4686111,41.5986111
Feature,USGS-01428000,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,41.56388889,-75.0144444,350,-75.0144444,41.56388889,8,90,0.2,1,TRUE,Point,-75.0144444,41.56388889
Feature,USGS-01428500,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,41.50875,-74.9860556,350,-74.9860556,41.50875,8,90,0.2,1,TRUE,Point,-74.9860556,41.50875
Feature,USGS-01431500,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,41.4762002,-75.1721186,350,-75.1721186,41.4762002,8,90,0.2,1,TRUE,Point,-75.1721186,41.4762002
Feature,USGS-01432160,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,41.47536824,-74.91238898,350,-74.91238898,41.47536824,8,90,0.2,1,TRUE,Point,-74.91238898,41.47536824
Feature,USGS-01432055,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,41.469417,-75.108944,350,-75.108944,41.469417,8,90,0.2,1,TRUE,Point,-75.108944,41.469417
Feature,USGS-01433500,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,41.4612222,-74.75877778,350,-74.75877778,41.4612222,8,90,0.2,1,TRUE,Point,-74.75877778,41.4612222
Feature,USGS-01437400,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,41.45342667,-74.58849408,350,-74.58849408,41.45342667,8,90,0.2,1,TRUE,Point,-74.58849408,41.45342667
Feature,USGS-01432495,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,41.45,-74.9216667,350,-74.9216667,41.45,8,90,0.2,1,TRUE,Point,-74.9216667,41.45
Feature,USGS-01437500,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,41.4411111,-74.6019444,350,-74.6019444,41.4411111,8,90,0.2,1,TRUE,Point,-74.6019444,41.4411111
Feature,USGS-01437500,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,41.4411111,-74.6019444,350,-74.6019444,41.4411111,8,90,0.2,1,TRUE,Point,-74.6019444,41.4411111
Feature,USGS-01434000,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,41.37055556,-74.6975,350,-74.6975,41.37055556,8,90,0.2,1,TRUE,Point,-74.6975,41.37055556
Feature,USGS-01434000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,41.37055556,-74.6975,350,-74.6975,41.37055556,8,90,0.2,1,TRUE,Point,-74.6975,41.37055556
Feature,USGS-01438500,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,41.30916667,-74.79527778,350,-74.79527778,41.30916667,8,90,0.2,1,TRUE,Point,-74.79527778,41.30916667
Feature,USGS-01438500,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,41.30916667,-74.79527778,350,-74.79527778,41.30916667,8,90,0.2,1,TRUE,Point,-74.79527778,41.30916667
Feature,USGS-01440000,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,41.1061111,-74.9525,350,-74.9525,41.1061111,8,90,0.2,1,TRUE,Point,-74.9525,41.1061111
Feature,USGS-01439500,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,41.08815078,-75.03767469,350,-75.03767469,41.08815078,8,90,0.2,1,TRUE,Point,-75.03767469,41.08815078
Feature,USGS-01440400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,41.0848148,-75.2146251,350,-75.2146251,41.0848148,8,90,0.2,1,TRUE,Point,-75.2146251,41.0848148
Feature,USGS-01446500,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,40.82638889,-75.0825,350,-75.0825,40.82638889,8,90,0.2,1,TRUE,Point,-75.0825,40.82638889
Feature,USGS-01451800,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,40.66176219,-75.626854,350,-75.626854,40.66176219,8,90,0.2,1,TRUE,Point,-75.626854,40.66176219
Feature,USGS-01455290,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,40.6354722,-75.16863889,350,-75.16863889,40.6354722,8,90,0.2,1,TRUE,Point,-75.16863889,40.6354722
Feature,USGS-01451650,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,40.59639,-75.4744,350,-75.4744,40.59639,8,90,0.2,1,TRUE,Point,-75.4744,40.59639
Feature,USGS-01457500,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,40.5947222,-75.1897222,350,-75.1897222,40.5947222,8,90,0.2,1,TRUE,Point,-75.1897222,40.5947222
Feature,USGS-01451630,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,40.5873195,-75.4968502,350,-75.4968502,40.5873195,8,90,0.2,1,TRUE,Point,-75.4968502,40.5873195
Feature,,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,40.58722,-75.4972,350,-75.4972,40.58722,8,90,0.2,1,TRUE,Point,-75.4972,40.58722
