station,dec_lat_va,dec_long_va,begin_date,end_date,count_nu
1434498,41.92041667,-74.57438889,8/8/2019,5/27/2020,293
1438500,41.30916667,-74.79527778,10/2/2019,5/27/2020,238
1458500,40.5261111,-75.065,10/1/2014,5/27/2020,2065
1463500,40.22166667,-74.7780556,10/2/2014,5/27/2020,2064
1474500,39.9678905,-75.1885123,3/12/2020,5/27/2020,76
1478245,39.7475,-75.7708333,11/16/2011,5/27/2020,3115
1481000,39.8698328,-75.5932623,10/1/2007,5/27/2020,4622
